"stateName","year","sex","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","999"
"Florida","2014","2","105338","105240","106515","106712","106867","106084","110678","112179","111169","110139","108069","109378","109792","114130","116609","114583","114446","114665","112246","111692","116895","119443","127068","137311","139543","132511","127964","124516","123307","125074","121896","123381","123922","122226","123703","117026","116860","117403","114756","118470","117710","121146","127846","134210","134553","128085","127411","130104","133549","142537","146882","146247","145565","146756","147209","143432","142217","142586","138952","138779","135727","132034","129946","128636","127996","128922","132644","139497","107930","107821","107435","111460","98474","91212","87155","82289","79495","73826","70491","67346","59866","58406","55904","53356","50765","324507","10158722"
"Georgia","2014","0","129104","129915","132990","133811","136855","136509","141802","143139","141870","141223","140969","139981","140191","143387","145183","140328","138000","137926","136119","138394","139565","141572","146157","147306","147705","141340","136228","133277","134365","135172","131026","134375","134954","135951","140528","132960","131165","130512","127180","132751","130385","134557","141384","149128","148024","138880","135344","134662","137397","143976","144346","141870","140446","139668","139010","133297","130317","129234","123702","121365","116232","111305","106600","104186","102776","100257","100167","102559","75719","74449","71672","72609","62126","56483","53021","48942","45310","41149","38835","36822","32164","30431","28099","25607","23923","131194","10031414"
"Georgia","2014","1","65889","66132","67488","68337","69878","69707","72443","72860","72440","71953","71645","71079","71059","72969","74157","71464","70319","70180","69341","70114","70934","72073","73823","73513","72986","70042","66965","65729","66423","66300","63333","64952","65054","65322","68265","63883","63256","62659","61370","64146","62613","64601","68469","72428","72540","67763","65989","65713","67177","70344","70229","68900","67966","67515","67443","64276","62585","61888","59033","57595","54872","52179","49611","47927","47779","46763","46712","47915","34998","34419","32866","33352","28275","25420","23678","21651","19801","17946","16593","15282","13215","12428","11174","10051","9080","41423","4870959"
"Georgia","2014","2","63215","63783","65502","65474","66977","66802","69359","70279","69430","69270","69324","68902","69132","70418","71026","68864","67681","67746","66778","68280","68631","69499","72334","73793","74719","71298","69263","67548","67942","68872","67693","69423","69900","70629","72263","69077","67909","67853","65810","68605","67772","69956","72915","76700","75484","71117","69355","68949","70220","73632","74117","72970","72480","72153","71567","69021","67732","67346","64669","63770","61360","59126","56989","56259","54997","53494","53455","54644","40721","40030","38806","39257","33851","31063","29343","27291","25509","23203","22242","21540","18949","18003","16925","15556","14843","89771","5160455"
"Hawaii","2014","0","18853","18462","18117","18597","17451","17479","17624","17303","16862","17015","17153","16700","16060","16441","16451","16111","15883","15882","15507","15105","16474","16935","18387","20072","20048","19863","19494","19625","19523","19250","18868","18968","18655","18229","18629","17289","16961","16742","16041","16216","15965","15710","16302","16966","18236","17207","16247","16286","16845","17785","18065","18159","18022","18103","19326","18452","18641","18447","18506","18541","18147","17819","17218","16634","17240","16362","16177","15972","13034","13061","12608","11327","10153","9143","8860","7982","7504","6964","6570","6564","5943","6027","5862","5612","5538","36891","1372348"
"Hawaii","2014","1","9636","9434","9167","9618","8853","8994","9037","8996","8681","8699","8927","8723","8164","8358","8456","8184","8140","8034","7927","7754","8572","8833","9712","10520","10346","10214","9938","10164","10173","9726","9445","9457","9156","9032","9295","8608","8580","8189","7974","8141","7864","7750","8127","8335","9041","8428","7960","7996","8334","8865","8918","9055","8928","8941","9605","9164","9135","9078","9088","9113","8878","8740","8431","8085","8451","8052","7909","7906","6307","6299","6116","5431","4813","4293","4112","3642","3388","3104","2848","2818","2577","2489","2342","2182","2161","13247","678203"
"Hawaii","2014","2","9217","9028","8950","8979","8598","8485","8587","8307","8181","8316","8226","7977","7896","8083","7995","7927","7743","7848","7580","7351","7902","8102","8675","9552","9702","9649","9556","9461","9350","9524","9423","9511","9499","9197","9334","8681","8381","8553","8067","8075","8101","7960","8175","8631","9195","8779","8287","8290","8511","8920","9147","9104","9094","9162","9721","9288","9506","9369","9418","9428","9269","9079","8787","8549","8789","8310","8268","8066","6727","6762","6492","5896","5340","4850","4748","4340","4116","3860","3722","3746","3366","3538","3520","3430","3377","23644","694145"
"Idaho","2014","0","22805","22721","22211","22744","23351","24078","24829","25085","24771","24990","24584","24361","24382","24500","24659","24163","23442","23404","22229","21410","20866","21406","22989","22928","22964","22321","20872","20863","20852","21226","20836","21326","21813","21539","21916","21161","20434","20488","19465","20012","18720","18698","19218","20391","20282","19289","18580","18540","18742","19324","19984","20680","20936","21616","21317","20818","21265","21197","20519","20336","19923","19912","19234","18427","17916","17520","17653","18045","13391","13403","13234","13357","11536","10571","9983","9342","8561","7819","7382","6882","6134","5892","5598","5006","4718","27349","1630236"
"Idaho","2014","1","11619","11481","11324","11526","11873","12289","12800","12940","12790","12744","12609","12548","12469","12374","12621","12448","12117","12034","11360","10629","10459","11229","12276","12106","11700","11097","10280","10377","10500","10766","10536","10688","10992","10901","11062","10788","10332","10338","9848","10227","9394","9386","9699","10309","10155","9686","9408","9341","9348","9620","9826","10294","10435","10649","10665","10205","10356","10279","10093","10037","9784","9818","9479","9036","8788","8677","8761","8998","6695","6506","6421","6543","5654","5093","4869","4607","4100","3742","3482","3253","2829","2714","2504","2139","1977","10197","814948"
"Idaho","2014","2","11186","11240","10887","11218","11478","11789","12029","12145","11981","12246","11975","11813","11913","12126","12038","11715","11325","11370","10869","10781","10407","10177","10713","10822","11264","11224","10592","10486","10352","10460","10300","10638","10821","10638","10854","10373","10102","10150","9617","9785","9326","9312","9519","10082","10127","9603","9172","9199","9394","9704","10158","10386","10501","10967","10652","10613","10909","10918","10426","10299","10139","10094","9755","9391","9128","8843","8892","9047","6696","6897","6813","6814","5882","5478","5114","4735","4461","4077","3900","3629","3305","3178","3094","2867","2741","17152","815288"
"Illinois","2014","0","156134","156360","158115","159663","160413","160525","165901","167073","167057","167770","169693","168463","168009","171752","174134","171302","172641","173404","169483","170139","175083","176926","182546","182505","181250","175556","173852","173625","177289","180655","175323","177961","178780","177801","182567","171169","167187","166176","160372","165243","159202","161353","168687","177243","179224","168779","166498","166629","169673","179283","181523","181839","182245","185544","188339","181441","180473","177357","170492","169157","159904","153482","147104","142395","137167","130142","127705","132907","96890","94087","92154","96312","84574","76105","71246","68008","65351","59876","57247","54608","48728","47259","44643","43255","41384","256052","12853463"
"Illinois","2014","1","79680","79706","80198","81570","81866","81671","84218","84544","85387","85879","86484","86086","85710","87436","88818","87464","88319","88418","87086","86559","88625","89970","91774","91925","91299","88278","87337","87118","89081","90858","87678","88663","89367","88520","91305","85222","83460","83022","80186","82619","79156","79770","83806","87856","88899","83910","82622","82465","83996","88846","89352","89407","89469","90989","92338","88590","88074","86522","82474","81920","77352","73807","70713","67815","65378","61773","60445","62584","45395","43718","42652","44025","38279","34127","31529","29960","28634","26020","24582","23029","20316","19331","17838","16870","15858","83669","6299566"
"Illinois","2014","2","76454","76654","77917","78093","78547","78854","81683","82529","81670","81891","83209","82377","82299","84316","85316","83838","84322","84986","82397","83580","86458","86956","90772","90580","89951","87278","86515","86507","88208","89797","87645","89298","89413","89281","91262","85947","83727","83154","80186","82624","80046","81583","84881","89387","90325","84869","83876","84164","85677","90437","92171","92432","92776","94555","96001","92851","92399","90835","88018","87237","82552","79675","76391","74580","71789","68369","67260","70323","51495","50369","49502","52287","46295","41978","39717","38048","36717","33856","32665","31579","28412","27928","26805","26385","25526","172383","6553897"
"Indiana","2014","0","82993","83660","83634","84197","85003","85603","88344","89522","88551","88539","89578","88468","88418","91110","92629","90891","90550","90237","87076","96558","98981","97932","101073","96426","90998","86151","84755","82747","83462","84120","82035","84134","84409","85288","87587","82756","81073","80411","78158","80815","78392","79842","84364","89391","88457","83405","81517","82958","84054","90318","92859","92283","92838","95204","95233","92835","93030","91751","88076","87419","84105","80993","77778","74342","72023","70303","67902","71235","50953","50826","49379","51503","44887","40907","38216","36403","34914","31641","29960","28612","25630","24971","23428","22189","21162","126423","6593783"
"Indiana","2014","1","42516","42688","43174","43036","43490","43693","45138","45646","45274","45556","46067","45249","45054","46561","47309","46432","46065","46054","44919","49562","50837","49582","51536","48479","45398","43542","42745","41360","41581","42130","41093","41898","42321","42639","43907","41222","40726","40099","39163","40230","39162","39748","42129","44947","44493","41896","40676","41346","41681","44817","46104","45647","45758","46788","47178","45665","45779","45072","43042","42733","41062","39204","37626","35714","34522","33575","32313","33681","23979","23895","22919","23843","20654","18624","17236","16367","15533","13928","12958","12132","10760","10198","9396","8683","8062","41301","3246797"
"Indiana","2014","2","40477","40972","40460","41161","41513","41910","43206","43876","43277","42983","43511","43219","43364","44549","45320","44459","44485","44183","42157","46996","48144","48350","49537","47947","45600","42609","42010","41387","41881","41990","40942","42236","42088","42649","43680","41534","40347","40312","38995","40585","39230","40094","42235","44444","43964","41509","40841","41612","42373","45501","46755","46636","47080","48416","48055","47170","47251","46679","45034","44686","43043","41789","40152","38628","37501","36728","35589","37554","26974","26931","26460","27660","24233","22283","20980","20036","19381","17713","17002","16480","14870","14773","14032","13506","13100","85122","3346986"
